"Date" "x" "y" "Species" "Type" "dist_obs"
"2011-07-28" 775.036836894203 4573.56472171346 "Stenella coeruleoalba" "FERRY" 0.2
"2011-08-04" 726.021935364259 4664.49510013559 "Tursiops truncatus" "FERRY" 0.035
"2011-08-11" 816.998567260738 4508.52404102064 "Stenella coeruleoalba" "FERRY" 0.2
"2011-08-11" 814.63301536452 4510.91512323224 "Stenella coeruleoalba" "FERRY" 0.02
"2011-08-18" 788.513716917447 4547.18478672574 "Stenella coeruleoalba" "FERRY" 0.03
"2011-08-18" 784.279085497445 4551.67880829275 "Stenella coeruleoalba" "FERRY" 0
"2011-08-18" 726.774596644557 4661.88478451014 "Tursiops truncatus" "FERRY" 0
"2011-08-18" 724.703180092248 4662.59671069794 "Tursiops truncatus" "FERRY" 0.03
"2011-08-25" 803.118598722096 4528.77640793726 "Stenella coeruleoalba" "FERRY" 0.01
"2011-09-01" 818.408038995831 4508.58437700998 "Stenella coeruleoalba" "FERRY" 0
"2011-09-01" 808.00466525625 4521.11476152948 "Stenella coeruleoalba" "FERRY" 0.02
"2011-09-01" 770.710047413644 4577.10499723557 "Stenella coeruleoalba" "FERRY" 0.2
"2011-09-01" 760.275131418919 4595.25736138739 "Tursiops truncatus" "FERRY" 0.03
"2011-09-06" 760.141766392464 4598.95496633002 "Stenella coeruleoalba" "FERRY" 0.01
"2011-09-06" 745.468802442458 4620.67417872576 "Stenella coeruleoalba" "FERRY" 0.2
"2011-09-08" 810.895277789371 4519.38926680017 "Stenella coeruleoalba" "FERRY" 0.2
"2011-09-15" 830.338611410062 4494.26369595815 "Stenella coeruleoalba" "FERRY" 0.03
"2011-09-15" 737.199398989095 4630.03321215488 "Stenella coeruleoalba" "FERRY" 0.1
"2010-08-26" 809.803737256486 4545.29498714146 "Stenella coeruleoalba" "FERRY" 0.65
"2010-08-26" 794.811227016322 4568.77869213363 "Stenella coeruleoalba" "FERRY" 0
"2010-08-26" 739.485986128388 4633.44453118924 "Tursiops truncatus" "FERRY" 2.5
"2010-08-26" 739.485986128388 4633.44453118924 "Stenella coeruleoalba" "FERRY" 2
"2010-08-26" 724.761791676621 4660.75339321849 "Tursiops truncatus" "FERRY" 0.1
"2010-09-02" 790.988264450528 4559.34938922481 "Stenella coeruleoalba" "FERRY" 0.075
"2010-09-02" 730.819065414001 4644.27450185842 "Tursiops truncatus" "FERRY" 0.9
"2010-09-09" 803.175036704999 4535.75266288153 "Stenella coeruleoalba" "FERRY" 0.15
"2010-09-09" 777.830057549985 4573.67094942528 "Stenella coeruleoalba" "FERRY" 0.1
"2010-09-16" 866.909310099686 4470.00397504684 "Stenella coeruleoalba" "FERRY" 0
"2010-09-23" 856.725753856683 4475.07850482153 "Stenella coeruleoalba" "FERRY" 2
"2010-09-23" 822.518336024555 4508.56161102925 "Stenella coeruleoalba" "FERRY" 0.3
"2010-09-23" 813.020981970878 4517.92159369533 "Stenella coeruleoalba" "FERRY" 0.5
"2010-09-23" 812.302615878938 4519.44855986634 "Stenella coeruleoalba" "FERRY" 0
"2010-10-28" 853.457385825541 4484.19445994813 "Stenella coeruleoalba" "FERRY" 0.5
"2010-10-28" 736.656184096827 4635.19537291542 "Stenella coeruleoalba" "FERRY" 0
"2010-07-15" 841.804215946255 4491.07501953973 "Stenella coeruleoalba" "FERRY" 0.02
"2010-07-29" 800.782274176464 4559.74626237334 "Stenella coeruleoalba" "FERRY" 0
"2010-07-30" 836.941308449333 4535.63047120368 "Stenella coeruleoalba" "FERRY" 0
"2010-07-30" 812.302615878938 4519.44855986634 "Stenella coeruleoalba" "FERRY" 0
"2010-08-05" 856.020983401054 4489.88094642811 "Stenella coeruleoalba" "FERRY" 0.95
"2010-08-05" 841.125275671292 4505.8808275957 "Stenella coeruleoalba" "FERRY" 0.4
"2010-08-05" 799.610982300211 4554.1403940303 "Stenella coeruleoalba" "FERRY" 0.85
"2010-08-06" 846.299872463132 4485.71811724668 "Stenella coeruleoalba" "FERRY" 0
"2010-08-19" 770.018883091219 4595.61160238216 "Tursiops truncatus" "FERRY" 2.3
"2010-08-19" 756.89569101758 4611.80976810106 "Tursiops truncatus" "FERRY" 1.8
"2010-08-19" 743.89220850167 4626.17877329758 "Stenella coeruleoalba" "FERRY" 2.5
"2010-08-19" 738.163999092289 4631.54381091505 "Tursiops truncatus" "FERRY" 0.8
"2013-08-16" 772.352153692015 4611.03862311076 "Stenella coeruleoalba" "FERRY" 0.8
"2013-08-16" 778.911634571012 4603.16530458342 "Tursiops truncatus" "FERRY" 1
"2013-08-16" 782.540414805476 4598.1041866367 "Tursiops truncatus" "FERRY" 1.3
"2013-08-30" 770.273969195538 4614.73870729268 "Stenella coeruleoalba" "FERRY" 1
"2013-09-06" 777.71965451306 4604.45261983458 "Tursiops truncatus" "FERRY" 0.7
"2013-09-06" 815.193281021901 4561.11179445571 "Tursiops truncatus" "FERRY" 0.4
"2013-09-06" 816.175421041488 4560.04841861281 "Stenella coeruleoalba" "FERRY" 0.6
"2013-12-18" 723.008587634113 4660.27549090563 "Stenella coeruleoalba" "FERRY" 0.1
"2014-01-22" 715.755684729042 4641.14051982418 "Stenella coeruleoalba" "FERRY" 0.15
"2014-05-21" 715.632852995559 4612.7942733572 "Stenella coeruleoalba" "FERRY" 0.5
"2014-05-21" 719.043425204421 4640.24958676892 "Stenella coeruleoalba" "FERRY" 0.4
"2014-09-17" 710.651918866078 4590.28629192892 "Stenella coeruleoalba" "FERRY" 0.3
"2014-09-17" 717.325472227404 4631.87014382179 "Stenella coeruleoalba" "FERRY" 0
"2014-10-29" 711.543091058198 4586.86406784484 "Stenella coeruleoalba" "FERRY" 0.3
"2014-10-29" 711.976312260998 4589.92383946976 "Stenella coeruleoalba" "FERRY" 0.01
"2018-08-09" 659.725490803965 4635.43503482076 "Stenella coeruleoalba" "FERRY" 0.02
"2018-08-09" 671.990548530335 4640.63002708013 "Stenella coeruleoalba" "FERRY" 0.35
"2008-03-13" 776.18002025603 4619.91879271918 "Tursiops truncatus" "Social" NA
"2008-03-30" 776.826482114076 4611.40193460986 "Tursiops truncatus" "Social" NA
"2008-05-03" 757.40755458359 4630.45841061341 "Tursiops truncatus" "Social" NA
"2008-05-31" 838.720128673521 4546.28517477405 "Stenella coeruleoalba" "Social" NA
"2008-06-06" 760.870591373584 4627.48620367157 "Tursiops truncatus" "Social" NA
"2008-06-22" 826.08863686192 4541.38009383738 "Stenella coeruleoalba" "Social" NA
"2008-07-04" 792.51157457178 4584.93333222779 "Tursiops truncatus" "Social" NA
